Lingart_1981_Table_2,Alpha_inverseCm,T_K,Lambda_um,,,,,,,,
-999,300,500,700,900,1100,1300,1500,1700,1900,2100,2300
0.5,0.0049,0.0069,0.0088,0.0120,0.0140,0.0190,0.0240,0.0390,0.2300,0.3400,0.3900
0.6,0.0041,0.0061,0.0081,0.0100,0.0130,0.0160,0.0220,0.0350,0.2100,0.3100,0.3600
0.7,0.0035,0.0055,0.0072,0.0090,0.0110,0.0140,0.0200,0.0320,0.1900,0.2900,0.3300
0.8,0.0031,0.0049,0.0065,0.0082,0.0100,0.0130,0.0180,0.0290,0.1800,0.2700,0.3000
0.9,0.0027,0.0045,0.0061,0.0075,0.0092,0.0120,0.0160,0.0260,0.1600,0.2400,0.2700
1.0,0.0025,0.0041,0.0056,0.0068,0.0083,0.0110,0.0150,0.0240,0.1500,0.2300,0.2500
1.1,0.0024,0.0038,0.0051,0.0063,0.0076,0.0097,0.0140,0.0220,0.1400,0.2100,0.2300
1.2,0.0022,0.0035,0.0046,0.0058,0.0070,0.0088,0.0130,0.0200,0.1300,0.1900,0.2200
1.3,0.0021,0.0032,0.0042,0.0054,0.0065,0.0082,0.0110,0.0180,0.1200,0.1800,0.2000
1.4,0.0020,0.0029,0.0037,0.0050,0.0061,0.0076,0.0110,0.0170,0.1100,0.1700,0.1900
1.5,0.0019,0.0026,0.0035,0.0046,0.0058,0.0071,0.0100,0.0160,0.1000,0.1600,0.1800
1.6,0.0018,0.0025,0.0032,0.0042,0.0054,0.0066,0.0090,0.0150,0.0990,0.1500,0.1700
1.7,0.0018,0.0023,0.0030,0.0039,0.0051,0.0062,0.0085,0.0140,0.0910,0.1400,0.1600
1.8,0.0017,0.0022,0.0028,0.0037,0.0047,0.0058,0.0079,0.0130,0.0860,0.1300,0.1500
1.9,0.0016,0.0021,0.0027,0.0035,0.0044,0.0056,0.0076,0.0120,0.0810,0.1300,0.1400
2.0,0.0016,0.0020,0.0026,0.0033,0.0042,0.0053,0.0074,0.0120,0.0760,0.1200,0.1300
2.1,0.0015,0.0019,0.0025,0.0032,0.0039,0.0052,0.0071,0.0120,0.0710,0.1200,0.1300
2.2,0.0015,0.0019,0.0024,0.0030,0.0037,0.0050,0.0069,0.0120,0.0680,0.1100,0.1200
2.3,0.0015,0.0018,0.0023,0.0030,0.0036,0.0049,0.0069,0.0120,0.0650,0.1100,0.1200
2.4,0.0014,0.0018,0.0023,0.0029,0.0035,0.0048,0.0069,0.0120,0.0640,0.1100,0.1200
2.5,0.0014,0.0018,0.0023,0.0028,0.0035,0.0048,0.0069,0.0120,0.0630,0.1100,0.1200
2.6,0.0014,0.0018,0.0023,0.0028,0.0035,0.0049,0.0070,0.0130,0.0630,0.1100,0.1200
2.7,0.0014,0.0018,0.0023,0.0029,0.0036,0.0051,0.0074,0.0150,0.0640,0.1100,0.1200
2.8,0.0014,0.0018,0.0024,0.0031,0.0039,0.0055,0.0078,0.0170,0.0670,0.1100,0.1200
2.9,0.0014,0.0018,0.0025,0.0033,0.0044,0.0061,0.0087,0.0200,0.0690,0.1200,0.1300
3.0,0.0015,0.0019,0.0026,0.0037,0.0050,0.0071,0.0100,0.0240,0.0750,0.1200,0.1400
3.1,0.0016,0.0021,0.0029,0.0042,0.0061,0.0088,0.0140,0.0300,0.0840,0.1300,0.1500
3.2,0.0017,0.0022,0.0033,0.0050,0.0082,0.0130,0.0200,0.0400,0.0970,0.1500,0.1700
3.3,0.0019,0.0025,0.0039,0.0067,0.0120,0.0210,0.0340,0.0570,0.1200,0.1700,0.2000
3.4,0.0021,0.0030,0.0050,0.0096,0.0190,0.0360,0.0570,0.0870,0.1500,0.2100,0.2500
3.5,0.0026,0.0040,0.0076,0.0160,0.0340,0.0620,0.0900,0.1300,0.2000,0.2700,0.3200
3.6,0.0034,0.0061,0.0130,0.0280,0.0610,0.0970,0.1400,0.1800,0.2600,0.3700,0.4300
3.7,0.0052,0.0110,0.0240,0.0490,0.0910,0.1400,0.2000,0.2600,0.3600,0.4900,0.5800
3.8,0.0100,0.0200,0.0460,0.0810,0.1400,0.2000,0.2800,0.3700,0.5200,0.6800,0.7800
3.9,0.0210,0.0360,0.0640,0.1200,0.2000,0.2900,0.4000,0.5400,0.7000,0.9100,1.0600
4.0,0.0340,0.0550,0.0940,0.1700,0.2700,0.3900,0.5500,0.7100,0.9500,1.1800,1.4600
4.1,0.0510,0.0820,0.1300,0.2300,0.3600,0.5200,0.7400,0.9700,1.2400,1.5800,1.9800
4.2,0.0760,0.1200,0.1800,0.3200,0.4900,0.7100,0.9700,1.2800,1.6300,2.0400,2.4700
4.3,0.1200,0.1700,0.2600,0.4300,0.6500,0.9700,1.2800,1.6600,2.1000,2.6300,3.2100
4.4,0.1600,0.2400,0.3600,0.5000,0.8600,1.3000,1.6600,2.1500,2.6700,3.3400,4.0400
4.5,0.2300,0.3200,0.4700,0.7700,1.1700,1.6300,2.1500,2.7500,3.4700,4.2300,5.0900
4.6,0.3000,0.4300,0.6200,0.9700,1.4200,2.0300,2.7100,3.5200,4.3000,5.2500,6.3600
4.7,0.4000,0.5300,0.7900,1.2000,1.7600,2.4700,3.3100,4.3000,5.3300,6.5100,7.9400
4.8,0.5100,0.6800,1.0000,1.4900,2.1900,2.9700,4.1400,5.2500,6.5100,7.8200,9.7000
4.9,0.6400,0.8600,1.2400,1.8200,2.6700,3.6000,4.9700,6.3100,7.9400,9.7000,11.5000
5.0,0.7800,1.0600,1.5100,2.1900,3.1900,4.4300,5.9800,7.4700,9.4000,11.5000,13.8000
5.1,0.9600,1.3000,1.8600,2.6500,3.8600,5.4100,7.2400,9.1200,11.5000,13.8000,16.8000
5.2,1.1700,1.5700,2.2600,3.2600,4.6400,6.5100,8.7100,11.0000,13.6000,16.3000,19.8000
5.3,1.4400,1.9600,2.7500,3.9800,5.6700,7.8200,10.4000,13.1000,16.1000,19.3000,23.3000
5.4,1.7400,2.4400,3.3100,4.8600,6.8100,9.5500,12.4000,15.6000,19.0000,22.9000,27.1000
5.5,2.1200,2.9700,4.0400,5.8400,8.5800,11.7000,14.9000,18.6000,22.6000,27.1000,32.1000
5.6,2.5100,3.5500,4.9000,7.0200,10.3000,14.1000,17.8000,22.2000,26.5000,31.6000,37.4000
5.7,2.9500,4.2300,5.9800,8.5800,12.0000,16.8000,21.2000,25.9000,30.7000,36.9000,44.0000
5.8,3.4100,4.9300,7.3600,10.3000,14.2000,20.3000,25.1000,30.7000,35.7000,43.0000,50.5000
5.9,3.8600,6.0300,8.8400,12.4000,17.1000,24.0000,30.2000,36.0000,42.3000,50.1000,58.4000
6.0,4.7900,7.8200,11.1000,16.3000,21.9000,28.4000,35.2000,42.3000,50.1000,58.4000,67.1000
6.1,6.8100,9.7700,13.4000,19.9000,26.3000,33.6000,41.4000,49.7000,57.5000,66.6000,77.6000
6.2,9.6200,12.0000,16.6000,24.2000,31.6000,39.8000,47.9000,57.5000,66.1000,75.9000,87.8000
6.3,12.6000,15.4000,20.6000,29.3000,37.7000,47.1000,55.8000,66.1000,75.9000,87.1000,100.0000
6.4,16.3000,19.6000,25.9000,34.7000,44.7000,54.9000,65.1000,75.9000,87.1000,98.5000,112.0000
6.5,20.4000,24.4000,31.1000,41.1000,52.5000,63.1000,75.3000,87.8000,100.0000,113.0000,126.0000
6.6,25.1000,30.2000,38.0000,48.6000,60.7000,73.0000,87.1000,100.0000,113.0000,128.0000,142.0000
6.7,30.4000,35.8000,44.7000,56.7000,70.2000,83.2000,99.2000,114.0000,128.0000,142.0000,158.0000
6.8,36.3000,43.0000,52.5000,65.1000,80.7000,94.0000,113.0000,130.0000,144.0000,160.0000,176.0000
6.9,43.0000,50.9000,62.1000,74.7000,92.6000,108.0000,128.0000,144.0000,161.0000,179.0000,196.0000
7.0,50.1000,61.2000,73.6000,85.8000,105.0000,124.0000,142.0000,161.0000,181.0000,199.0000,219.0000