wl,n,k
0.3000000000,3.1260590000,2.4912410000
0.3010000000,3.1326750000,2.4765250000
0.3020000000,3.1384450000,2.4618920000
0.3030000000,3.1433750000,2.4473870000
0.3040000000,3.1474730000,2.4330510000
0.3050000000,3.1507450000,2.4189260000
0.3060000000,3.1532040000,2.4050540000
0.3070000000,3.1548600000,2.3914740000
0.3080000000,3.1557270000,2.3782290000
0.3090000000,3.1558220000,2.3653570000
0.3100000000,3.1551600000,2.3528990000
0.3110000000,3.1537600000,2.3408950000
0.3120000000,3.1516420000,2.3293810000
0.3130000000,3.1488230000,2.3183990000
0.3140000000,3.1453280000,2.3079900000
0.3150000000,3.1411790000,2.2981960000
0.3160000000,3.1364020000,2.2890580000
0.3170000000,3.1310270000,2.2806210000
0.3180000000,3.1250830000,2.2729320000
0.3190000000,3.1186050000,2.2660390000
0.3200000000,3.1116310000,2.2599940000
0.3210000000,3.1042040000,2.2548530000
0.3220000000,3.0963770000,2.2506790000
0.3230000000,3.0882110000,2.2475380000
0.3240000000,3.0797790000,2.2455070000
0.3250000000,3.0711750000,2.2446670000
0.3260000000,3.0625190000,2.2451130000
0.3270000000,3.0539680000,2.2469410000
0.3280000000,3.0457320000,2.2502540000
0.3290000000,3.0380930000,2.2551440000
0.3300000000,3.0314370000,2.2616750000
0.3310000000,3.0262860000,2.2698270000
0.3320000000,3.0233240000,2.2794160000
0.3330000000,3.0233980000,2.2899430000
0.3340000000,3.0274050000,2.3003600000
0.3350000000,3.0359560000,2.3088300000
0.3360000000,3.0486800000,2.3126940000
0.3370000000,3.0633290000,2.3091400000
0.3380000000,3.0755490000,2.2968690000
0.3390000000,3.0804470000,2.2777890000
0.3400000000,3.0753530000,2.2566690000
0.3410000000,3.0611220000,2.2385150000
0.3420000000,3.0408350000,2.2262750000
0.3430000000,3.0177340000,2.2205840000
0.3440000000,2.9941360000,2.2207240000
0.3450000000,2.9713480000,2.2255620000
0.3460000000,2.9499640000,2.2340360000
0.3470000000,2.9301790000,2.2453130000
0.3480000000,2.9119910000,2.2587870000
0.3490000000,2.8953200000,2.2740360000
0.3500000000,2.8800680000,2.2907690000
0.3510000000,2.8661400000,2.3087840000
0.3520000000,2.8534570000,2.3279400000
0.3530000000,2.8419590000,2.3481370000
0.3540000000,2.8316050000,2.3692980000
0.3550000000,2.8223680000,2.3913680000
0.3560000000,2.8142320000,2.4142980000
0.3570000000,2.8071950000,2.4380490000
0.3580000000,2.8012640000,2.4625830000
0.3590000000,2.7964500000,2.4878640000
0.3600000000,2.7927730000,2.5138560000
0.3610000000,2.7902570000,2.5405220000
0.3620000000,2.7889300000,2.5678210000
0.3630000000,2.7888300000,2.5957080000
0.3640000000,2.7899840000,2.6241080000
0.3650000000,2.7923820000,2.6529730000
0.3660000000,2.7960450000,2.6822730000
0.3670000000,2.8009980000,2.7119660000
0.3680000000,2.8072680000,2.7420060000
0.3690000000,2.8148830000,2.7723470000
0.3700000000,2.8238710000,2.8029330000
0.3710000000,2.8342600000,2.8337100000
0.3720000000,2.8460770000,2.8646140000
0.3730000000,2.8593390000,2.8955790000
0.3740000000,2.8740690000,2.9265430000
0.3750000000,2.8902850000,2.9574370000
0.3760000000,2.9080060000,2.9881880000
0.3770000000,2.9272470000,3.0187190000
0.3780000000,2.9480190000,3.0489470000
0.3790000000,2.9703280000,3.0787890000
0.3800000000,2.9941760000,3.1081550000
0.3810000000,3.0195610000,3.1369520000
0.3820000000,3.0464720000,3.1650860000
0.3830000000,3.0748920000,3.1924580000
0.3840000000,3.1047980000,3.2189660000
0.3850000000,3.1361580000,3.2445080000
0.3860000000,3.1689300000,3.2689790000
0.3870000000,3.2030640000,3.2922750000
0.3880000000,3.2384990000,3.3142910000
0.3890000000,3.2751640000,3.3349250000
0.3900000000,3.3129770000,3.3540760000
0.3910000000,3.3518430000,3.3716490000
0.3920000000,3.3916570000,3.3875540000
0.3930000000,3.4323040000,3.4017070000
0.3940000000,3.4736540000,3.4140330000
0.3950000000,3.5155700000,3.4244700000
0.3960000000,3.5579040000,3.4329660000
0.3970000000,3.6005000000,3.4394830000
0.3980000000,3.6431940000,3.4440000000
0.3990000000,3.6858170000,3.4465110000
0.4000000000,3.7281970000,3.4470290000
0.4010000000,3.7701620000,3.4455870000
0.4020000000,3.8115400000,3.4422350000
0.4030000000,3.8521640000,3.4370460000
0.4040000000,3.8918730000,3.4301110000
0.4050000000,3.9305180000,3.4215380000
0.4060000000,3.9679580000,3.4114570000
0.4070000000,4.0040720000,3.4000090000
0.4080000000,4.0387510000,3.3873530000
0.4090000000,4.0719080000,3.3736590000
0.4100000000,4.1034760000,3.3591060000
0.4110000000,4.1334070000,3.3438810000
0.4120000000,4.1616790000,3.3281720000
0.4130000000,4.1882890000,3.3121700000
0.4140000000,4.2132580000,3.2960650000
0.4150000000,4.2366290000,3.2800410000
0.4160000000,4.2584640000,3.2642740000
0.4170000000,4.2788470000,3.2489320000
0.4180000000,4.2978770000,3.2341700000
0.4190000000,4.3156710000,3.2201300000
0.4200000000,4.3323610000,3.2069380000
0.4210000000,4.3480880000,3.1947050000
0.4220000000,4.3630080000,3.1835230000
0.4230000000,4.3772810000,3.1734670000
0.4240000000,4.3910760000,3.1645930000
0.4250000000,4.4045640000,3.1569380000
0.4260000000,4.4179200000,3.1505190000
0.4270000000,4.4313160000,3.1453360000
0.4280000000,4.4449260000,3.1413690000
0.4290000000,4.4589190000,3.1385790000
0.4300000000,4.4734590000,3.1369120000
0.4310000000,4.4887020000,3.1362950000
0.4320000000,4.5047970000,3.1366390000
0.4330000000,4.5218830000,3.1378400000
0.4340000000,4.5400880000,3.1397780000
0.4350000000,4.5595270000,3.1423230000
0.4360000000,4.5803020000,3.1453300000
0.4370000000,4.6024970000,3.1486450000
0.4380000000,4.6261850000,3.1521020000
0.4390000000,4.6514170000,3.1555300000
0.4400000000,4.6782290000,3.1587510000
0.4410000000,4.7066380000,3.1615810000
0.4420000000,4.7366410000,3.1638360000
0.4430000000,4.7682150000,3.1653290000
0.4440000000,4.8013180000,3.1658760000
0.4450000000,4.8358870000,3.1652960000
0.4460000000,4.8718410000,3.1634140000
0.4470000000,4.9090790000,3.1600620000
0.4480000000,4.9474790000,3.1550840000
0.4490000000,4.9869060000,3.1483360000
0.4500000000,5.0272060000,3.1396880000
0.4510000000,5.0682110000,3.1290260000
0.4520000000,5.1097410000,3.1162550000
0.4530000000,5.1516060000,3.1013020000
0.4540000000,5.1936060000,3.0841100000
0.4550000000,5.2355390000,3.0646500000
0.4560000000,5.2771970000,3.0429100000
0.4570000000,5.3183770000,3.0189060000
0.4580000000,5.3588740000,2.9926720000
0.4590000000,5.3984930000,2.9642660000
0.4600000000,5.4370460000,2.9337660000
0.4610000000,5.4743580000,2.9012700000
0.4620000000,5.5102640000,2.8668940000
0.4630000000,5.5446180000,2.8307660000
0.4640000000,5.5772890000,2.7930290000
0.4650000000,5.6081640000,2.7538380000
0.4660000000,5.6371510000,2.7133530000
0.4670000000,5.6641730000,2.6717410000
0.4680000000,5.6891750000,2.6291700000
0.4690000000,5.7121200000,2.5858110000
0.4700000000,5.7329880000,2.5418300000
0.4710000000,5.7517770000,2.4973920000
0.4720000000,5.7684990000,2.4526540000
0.4730000000,5.7831820000,2.4077660000
0.4740000000,5.7958640000,2.3628720000
0.4750000000,5.8065980000,2.3181040000
0.4760000000,5.8154420000,2.2735860000
0.4770000000,5.8224650000,2.2294290000
0.4780000000,5.8277400000,2.1857360000
0.4790000000,5.8313480000,2.1425990000
0.4800000000,5.8333700000,2.1000980000
0.4810000000,5.8338930000,2.0583040000
0.4820000000,5.8330010000,2.0172780000
0.4830000000,5.8307820000,1.9770710000
0.4840000000,5.8273210000,1.9377270000
0.4850000000,5.8227040000,1.8992800000
0.4860000000,5.8170120000,1.8617590000
0.4870000000,5.8103280000,1.8251830000
0.4880000000,5.8027270000,1.7895670000
0.4890000000,5.7942850000,1.7549200000
0.4900000000,5.7850730000,1.7212460000
0.4910000000,5.7751580000,1.6885450000
0.4920000000,5.7646060000,1.6568130000
0.4930000000,5.7534780000,1.6260410000
0.4940000000,5.7418290000,1.5962200000
0.4950000000,5.7297150000,1.5673360000
0.4960000000,5.7171850000,1.5393750000
0.4970000000,5.7042880000,1.5123200000
0.4980000000,5.6910650000,1.4861520000
0.4990000000,5.6775600000,1.4608540000
0.5000000000,5.6638080000,1.4364040000
0.5010000000,5.6498450000,1.4127820000
0.5020000000,5.6357050000,1.3899670000
0.5030000000,5.6214150000,1.3679380000
0.5040000000,5.6070050000,1.3466720000
0.5050000000,5.5925000000,1.3261490000
0.5060000000,5.5779220000,1.3063460000
0.5070000000,5.5632920000,1.2872430000
0.5080000000,5.5486320000,1.2688190000
0.5090000000,5.5339570000,1.2510530000
0.5100000000,5.5192850000,1.2339240000
0.5110000000,5.5046310000,1.2174140000
0.5120000000,5.4900070000,1.2015020000
0.5130000000,5.4754260000,1.1861700000
0.5140000000,5.4608980000,1.1714000000
0.5150000000,5.4464350000,1.1571730000
0.5160000000,5.4320440000,1.1434730000
0.5170000000,5.4177350000,1.1302830000
0.5180000000,5.4035130000,1.1175870000
0.5190000000,5.3893860000,1.1053680000
0.5200000000,5.3753590000,1.0936140000
0.5210000000,5.3614370000,1.0823080000
0.5220000000,5.3476250000,1.0714360000
0.5230000000,5.3339270000,1.0609870000
0.5240000000,5.3203460000,1.0509460000
0.5250000000,5.3068850000,1.0413010000
0.5260000000,5.2935470000,1.0320410000
0.5270000000,5.2803340000,1.0231540000
0.5280000000,5.2672480000,1.0146290000
0.5290000000,5.2542900000,1.0064560000
0.5300000000,5.2414620000,0.9986243000
0.5310000000,5.2287640000,0.9911251000
0.5320000000,5.2161970000,0.9839489000
0.5330000000,5.2037620000,0.9770872000
0.5340000000,5.1914590000,0.9705315000
0.5350000000,5.1792880000,0.9642739000
0.5360000000,5.1672490000,0.9583069000
0.5370000000,5.1553420000,0.9526232000
0.5380000000,5.1435670000,0.9472161000
0.5390000000,5.1319230000,0.9420790000
0.5400000000,5.1204100000,0.9372058000
0.5410000000,5.1090270000,0.9325906000
0.5420000000,5.0977740000,0.9282280000
0.5430000000,5.0866490000,0.9241126000
0.5440000000,5.0756530000,0.9202397000
0.5450000000,5.0647830000,0.9166046000
0.5460000000,5.0540400000,0.9132030000
0.5470000000,5.0434230000,0.9100308000
0.5480000000,5.0329300000,0.9070842000
0.5490000000,5.0225600000,0.9043599000
0.5500000000,5.0123130000,0.9018545000
0.5510000000,5.0021880000,0.8995651000
0.5520000000,4.9921840000,0.8974890000
0.5530000000,4.9823000000,0.8956237000
0.5540000000,4.9725340000,0.8939670000
0.5550000000,4.9628870000,0.8925171000
0.5560000000,4.9533570000,0.8912722000
0.5570000000,4.9439440000,0.8902309000
0.5580000000,4.9346460000,0.8893920000
0.5590000000,4.9254630000,0.8887546000
0.5600000000,4.9163950000,0.8883180000
0.5610000000,4.9074400000,0.8880819000
0.5620000000,4.8985990000,0.8880460000
0.5630000000,4.8898710000,0.8882105000
0.5640000000,4.8812550000,0.8885757000
0.5650000000,4.8727510000,0.8891424000
0.5660000000,4.8643600000,0.8899114000
0.5670000000,4.8560800000,0.8908840000
0.5680000000,4.8479130000,0.8920618000
0.5690000000,4.8398590000,0.8934464000
0.5700000000,4.8319170000,0.8950402000
0.5710000000,4.8240890000,0.8968455000
0.5720000000,4.8163750000,0.8988652000
0.5730000000,4.8087760000,0.9011024000
0.5740000000,4.8012930000,0.9035607000
0.5750000000,4.7939290000,0.9062439000
0.5760000000,4.7866840000,0.9091563000
0.5770000000,4.7795610000,0.9123028000
0.5780000000,4.7725620000,0.9156883000
0.5790000000,4.7656890000,0.9193187000
0.5800000000,4.7589470000,0.9231998000
0.5810000000,4.7523370000,0.9273385000
0.5820000000,4.7458660000,0.9317417000
0.5830000000,4.7395360000,0.9364173000
0.5840000000,4.7333540000,0.9413735000
0.5850000000,4.7273250000,0.9466193000
0.5860000000,4.7214560000,0.9521641000
0.5870000000,4.7157550000,0.9580184000
0.5880000000,4.7102290000,0.9641931000
0.5890000000,4.7048890000,0.9706999000
0.5900000000,4.6997450000,0.9775516000
0.5910000000,4.6948100000,0.9847613000
0.5920000000,4.6900970000,0.9923436000
0.5930000000,4.6856200000,1.0003140000
0.5940000000,4.6813980000,1.0086870000
0.5950000000,4.6774500000,1.0174820000
0.5960000000,4.6737980000,1.0267160000
0.5970000000,4.6704650000,1.0364070000
0.5980000000,4.6674800000,1.0465770000
0.5990000000,4.6648730000,1.0572460000
0.6000000000,4.6626810000,1.0684360000
0.6010000000,4.6609420000,1.0801700000
0.6020000000,4.6597020000,1.0924710000
0.6030000000,4.6590120000,1.1053620000
0.6040000000,4.6589290000,1.1188670000
0.6050000000,4.6595180000,1.1330110000
0.6060000000,4.6608540000,1.1478150000
0.6070000000,4.6630210000,1.1633010000
0.6080000000,4.6661140000,1.1794860000
0.6090000000,4.6702400000,1.1963860000
0.6100000000,4.6755230000,1.2140090000
0.6110000000,4.6821010000,1.2323560000
0.6120000000,4.6901320000,1.2514190000
0.6130000000,4.6997930000,1.2711740000
0.6140000000,4.7112830000,1.2915780000
0.6150000000,4.7248260000,1.3125640000
0.6160000000,4.7406710000,1.3340340000
0.6170000000,4.7590920000,1.3558480000
0.6180000000,4.7803890000,1.3778130000
0.6190000000,4.8048820000,1.3996690000
0.6200000000,4.8329080000,1.4210750000
0.6210000000,4.8648050000,1.4415870000
0.6220000000,4.9008970000,1.4606360000
0.6230000000,4.9414630000,1.4775100000
0.6240000000,4.9866960000,1.4913310000
0.6250000000,5.0366470000,1.5010440000
0.6260000000,5.0911480000,1.5054180000
0.6270000000,5.1497210000,1.5030730000
0.6280000000,5.2114730000,1.4925510000
0.6290000000,5.2749990000,1.4724350000
0.6300000000,5.3383100000,1.4415350000
0.6310000000,5.3988440000,1.3991440000
0.6320000000,5.4535780000,1.3453150000
0.6330000000,5.4993010000,1.2811230000
0.6340000000,5.5330270000,1.2088070000
0.6350000000,5.5525010000,1.1317190000
0.6360000000,5.5566710000,1.0540290000
0.6370000000,5.5460210000,0.9802145000
0.6380000000,5.5226670000,0.9144343000
0.6390000000,5.4902010000,0.8598766000
0.6400000000,5.4532940000,0.8181636000
0.6410000000,5.4170300000,0.7888572000
0.6420000000,5.3859160000,0.7692089000
0.6430000000,5.3625950000,0.7544832000
0.6440000000,5.3467420000,0.7392108000
0.6450000000,5.3349870000,0.7191963000
0.6460000000,5.3223870000,0.6931910000
0.6470000000,5.3046670000,0.6630267000
0.6480000000,5.2797440000,0.6322262000
0.6490000000,5.2478160000,0.6042870000
0.6500000000,5.2105480000,0.5816666000
0.6510000000,5.1703720000,0.5655481000
0.6520000000,5.1292820000,0.5548867000
0.6530000000,5.0873200000,0.5492719000
0.6540000000,5.0449930000,0.5487133000
0.6550000000,5.0027420000,0.5530914000
0.6560000000,4.9608790000,0.5622945000
0.6570000000,4.9196210000,0.5762855000
0.6580000000,4.8791410000,0.5951343000
0.6590000000,4.8396170000,0.6190323000
0.6600000000,4.8012730000,0.6482996000
0.6610000000,4.7644340000,0.6833871000
0.6620000000,4.7295780000,0.7248746000
0.6630000000,4.6974050000,0.7734597000
0.6640000000,4.6689260000,0.8299311000
0.6650000000,4.6455690000,0.8951117000
0.6660000000,4.6293030000,0.9697525000
0.6670000000,4.6227770000,1.0543480000
0.6680000000,4.6294250000,1.1488380000
0.6690000000,4.6534840000,1.2521720000
0.6700000000,4.6998120000,1.3617240000
0.6710000000,4.7733680000,1.4726350000
0.6720000000,4.8781880000,1.5772750000
0.6730000000,5.0158200000,1.6651700000
0.6740000000,5.1834240000,1.7238980000
0.6750000000,5.3721990000,1.7413660000
0.6760000000,5.5673050000,1.7093620000
0.6770000000,5.7503390000,1.6271030000
0.6780000000,5.9041210000,1.5026540000
0.6790000000,6.0175520000,1.3507650000
0.6800000000,6.0878130000,1.1881290000
0.6810000000,6.1190810000,1.0288650000
0.6820000000,6.1193400000,0.8822693000
0.6830000000,6.0973450000,0.7528806000
0.6840000000,6.0607870000,0.6417578000
0.6850000000,6.0156230000,0.5479084000
0.6860000000,5.9660980000,0.4693842000
0.6870000000,5.9150610000,0.4039613000
0.6880000000,5.8643280000,0.3494994000
0.6890000000,5.8150010000,0.3040987000
0.6900000000,5.7676960000,0.2661444000
0.6910000000,5.7227230000,0.2342977000
0.6920000000,5.6801900000,0.2074635000
0.6930000000,5.6400880000,0.1847523000
0.6940000000,5.6023360000,0.1654436000
0.6950000000,5.5668130000,0.1489538000
0.6960000000,5.5333810000,0.1348095000
0.6970000000,5.5018950000,0.1226256000
0.6980000000,5.4722110000,0.1120874000
0.6990000000,5.4441910000,0.1029373000
0.7000000000,5.4177050000,0.0949629900
0.7010000000,5.3926320000,0.0879889400
0.7020000000,5.3688620000,0.0818694000
0.7030000000,5.3462930000,0.0764827900
0.7040000000,5.3248320000,0.0717272400
0.7050000000,5.3043940000,0.0675170500
0.7060000000,5.2849020000,0.0637798200
0.7070000000,5.2662870000,0.0604541600
0.7080000000,5.2484860000,0.0574878000
0.7090000000,5.2314390000,0.0548360800
0.7100000000,5.2150950000,0.0524607100
0.7110000000,5.1994070000,0.0503287400
0.7120000000,5.1843300000,0.0484117500
0.7130000000,5.1698240000,0.0466851100
0.7140000000,5.1558540000,0.0451274400
0.7150000000,5.1423870000,0.0437201200
0.7160000000,5.1293910000,0.0424468900
0.7170000000,5.1168390000,0.0412935200
0.7180000000,5.1047060000,0.0402475000
0.7190000000,5.0929670000,0.0392978400
0.7200000000,5.0816030000,0.0384348500
0.7210000000,5.0705930000,0.0376499400
0.7220000000,5.0599190000,0.0369355100
0.7230000000,5.0495640000,0.0362848300
0.7240000000,5.0395150000,0.0356919000
0.7250000000,5.0297570000,0.0351513500
0.7260000000,5.0202820000,0.0346584000
0.7270000000,5.0110820000,0.0342086200
0.7280000000,5.0021560000,0.0337788900
0.7290000000,4.9934740000,0.0333541900
0.7300000000,4.9850160000,0.0329345500
0.7310000000,4.9767680000,0.0325199900
0.7320000000,4.9687170000,0.0321104900
0.7330000000,4.9608530000,0.0317060300
0.7340000000,4.9531650000,0.0313065800
0.7350000000,4.9456450000,0.0309121100
0.7360000000,4.9382850000,0.0305226100
0.7370000000,4.9310780000,0.0301380100
0.7380000000,4.9240160000,0.0297583000
0.7390000000,4.9170940000,0.0293834300
0.7400000000,4.9103050000,0.0290133700
0.7410000000,4.9036450000,0.0286480600
0.7420000000,4.8971090000,0.0282874800
0.7430000000,4.8906900000,0.0279315800
0.7440000000,4.8843860000,0.0275803200
0.7450000000,4.8781920000,0.0272336600
0.7460000000,4.8721030000,0.0268915600
0.7470000000,4.8661170000,0.0265539700
0.7480000000,4.8602300000,0.0262208500
0.7490000000,4.8544380000,0.0258921700
0.7500000000,4.8487380000,0.0255678800
0.7510000000,4.8431280000,0.0252479400
0.7520000000,4.8376040000,0.0249323100
0.7530000000,4.8321640000,0.0246209500
0.7540000000,4.8268050000,0.0243138200
0.7550000000,4.8215250000,0.0240108800
0.7560000000,4.8163220000,0.0237121000
0.7570000000,4.8111920000,0.0234174300
0.7580000000,4.8061360000,0.0231268400
0.7590000000,4.8011490000,0.0228402800
0.7600000000,4.7962310000,0.0225577300
0.7610000000,4.7913790000,0.0222791400
0.7620000000,4.7865920000,0.0220044800
0.7630000000,4.7818680000,0.0217337200
0.7640000000,4.7772050000,0.0214668100
0.7650000000,4.7726030000,0.0212037200
0.7660000000,4.7680580000,0.0209444100
0.7670000000,4.7635710000,0.0206888600
0.7680000000,4.7591400000,0.0204370300
0.7690000000,4.7547630000,0.0201888900
0.7700000000,4.7504390000,0.0199443900
0.7710000000,4.7461670000,0.0197035200
0.7720000000,4.7419450000,0.0194662300
0.7730000000,4.7377740000,0.0192325000
0.7740000000,4.7336510000,0.0190023000
0.7750000000,4.7295750000,0.0187755800
0.7760000000,4.7255460000,0.0185523300
0.7770000000,4.7215630000,0.0183325100
0.7780000000,4.7176250000,0.0181161000
0.7790000000,4.7137300000,0.0179030500
0.7800000000,4.7098800000,0.0176932200
0.7810000000,4.7060710000,0.0174859800
0.7820000000,4.7023050000,0.0172812300
0.7830000000,4.6985780000,0.0170789700
0.7840000000,4.6948910000,0.0168791500
0.7850000000,4.6912430000,0.0166817700
0.7860000000,4.6876330000,0.0164867800
0.7870000000,4.6840610000,0.0162941800
